"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","2.61180768930811","1.91711979022559","2.9654058240605","4.98964256844788","4.53405314575359","5.33944577287344","5.77134166972366","6.77674685686654","7.15570951032865","9.03444385753996","12.5546223106374","13.0395225459612","12.7433135187019","13.2145308461192","14.4149337063544","15.9700311616172","16.0740991530445","15.9199092838791","14.5455434030437","15.2943169244381","16.2711918310691","20.8817607372616","18.9119975738864","19.9866312756307","20.4966379485471","20.6791722327267","21.4923535418918","23.8595509667498","25.8644191619967","25.6939735335476","27.5558970398702","29.0303251824449","30.8768787159109","31.7873581960849","33.81819940186","35.9853563849809","40.7679276253303","42.2589898898135","42.7781247378999","41.581438384409","43.5129671295367","44.2041617168677","37.6443422797851","40.3027362303916","39.8812222314378","38.8963276596401","39.0262779385286","38.9590765899848","38.8397746626622","37.5317860792109","35.7061033427119","",
"Bulgaria","BGR","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.8032424465733","74.8645418326693","66.4476413516226","49.2479071537291","27.5166832983584","50.6846615601478","8.54265186387582","8.93979063824474","11.4699011329981","11.9474180867616","14.3305957706742","18.5626183930875","25.6925538139988","32.9705328326091","38.9108760956619","42.316642104612","58.3447337979952","66.8211281969706","68.8598540627739","68.1079119655045","65.1924339815948","65.6983446887853","66.1015043714351","59.1431222685524","54.7162237726231","51.9461262902659","49.7355320868358","50.4765266437485","49.7738396618268","51.2451860015255","48.1031625345449","44.6871219449777","45.2816623371386","47.0288554831778","",
"Bahrain","BHR","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","13.2603813928308","18.7428176956365","22.6790583590081","25.1042669531201","29.3812008828055","36.9827671434701","42.8136933960446","39.4833425695588","36.9688008368935","36.3503657855419","33.0253906223317","32.8796020732056","34.9421680480851","38.0037126516514","38.3406963774831","38.3291788359508","43.3785170369852","34.341055907932","31.0591781035616","29.2026291047615","26.2453142367221","31.0145376655118","33.2998660817627","36.8148369775149","38.4402727015962","37.8992052283149","36.5960610954508","39.5763886005707","44.0355640323323","46.0132820650577","40.5117896497586","41.8156768047881","44.5383071446789","42.1254859958743","43.9429196313401","43.6843509050045","44.8777557241595","53.1180542636418","64.2133791234367","71.4372673126356","64.9376677365426","66.9065925077703","66.5172271480683","66.9876399343585","61.3347998045045","70.5500803025","","","","","","","","","","",
"Bahamas, The","BHS","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","59.959160943011","64.708063021316","38.5071503313568","40.9037062108648","55.1050827246982","41.8722327640734","49.3290841999329","41.2552561906245","40.1963534361851","37.1576165305142","30.5667634175501","30.1655058788287","31.0830704521556","30.6088829753532","29.4148199445983","26.206457302435","25.522472767806","27.3852376137513","29.0530592871429","30.2317328507044","30.2808621815807","35.4516740366393","37.3944123735198","39.092955934384","45.2781371280724","48.837066584842","51.8314377369495","54.1091715156553","39.2928544807939","40.499208279552","39.9733467640655","43.4744387089904","45.4673875277566","44.2014331461206","44.5068764803965","46.3773109420019","48.8704987698501","55.1466719122673","58.2821797004051","61.8791563746912","65.8357677249759","65.6119400619666","66.8069252118823","64.263534942726","65.260679885063","60.729484428724","56.7441204298169","54.6606233534497","50.8695980525271","48.8090598477284","46.144814340589","58.0691195769646","49.0750519232367","43.1981895112544","39.4883474229437","","",
"Bosnia and Herzegovina","BIH","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2349838714921","57.8778161182614","48.0003106704796","36.9569694059329","25.9195969245727","29.9856169050392","34.1916210517568","36.3877516564887","42.0740084721434","42.5530303276704","49.2611284876516","53.1142377658698","52.794419944506","52.7832154908107","53.1266356914128","54.7098072984051","54.850414068914","54.6580219853564","52.9827520002455","52.5331624980893","53.5909458782066","52.9157122590126","53.3616301638284","53.4323588287209","49.2742522897771","44.3353511506811","43.4194920983383","44.1745248100109","",
"Belarus","BLR","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5741915359973","6.06226823060386","6.41326325721047","8.25781312869722","16.0930729989276","9.24305585076852","8.78610196303839","8.15667290312813","9.04457745951343","11.714901481206","13.8582727567321","15.4666364414581","19.4757270995496","23.6591460120022","27.2216298073515","34.1837473511749","40.8460016613303","37.2682708587609","20.7453619109863","21.4526001265863","22.1128626258342","23.9673319296304","21.6787306870004","22.2516638581082","23.0897108151835","24.2103470516677","26.1148076953904","24.1068300928884","","","","",
"Belize","BLZ","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","26.6839426191578","22.3880152996175","20.2942039618489","23.2971014492754","15.0184537684538","17.4097794822627","21.6576141621404","22.346175853519","20.0003444119167","20.9660633484163","19.224077046549","19.7524925895985","23.4842804603156","23.5262675626145","24.5406997929626","27.7452599969062","26.734727419817","25.6557233273843","26.2535013824144","26.6579036337166","28.1082570471004","30.9324132601297","32.8681971956209","32.0661513821391","29.8605678871483","32.8925041838192","35.5380430634143","38.6289176191416","40.1698826312204","40.1065008277836","42.1871151867654","45.4309189223278","49.3429620439683","52.7727352770292","49.7302898063818","47.4466070681069","46.3588049242508","44.7520305767794","44.5409084153329","45.7824869112496","44.5522769540226","44.2629521498684","45.1182339431205","45.7404064110272","54.935180970931","47.4917249348263","42.3398320177513","41.846338278317","41.0442142570816","",
"Bermuda","BMU","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","1.67894619334673","2.22495894909688","2.51360991177023","5.24232914923291","6.50471917066378","6.36768802228412","6.86666666666667","6.66889408620114","7.53237833594976","7.88391886997465","8.78165866578381","9.11339889366933","10.1315789473684","10.9951725229503","10.5315756912388","11.6752566607091","13.6658313059067","15.8746380514393","17.3146990771522","17.8810553153752","17.0894938836409","16.6650053301214","27.0854711585408","17.1390470124597","14.295284644253","19.0410810620241","12.8256195644743","15.3989109006212","17.138494061679","20.7115138346236","24.025560723537","28.6601674106482","36.3046144350101","45.4982377364528","49.9360590122096","48.2018453881021","52.7316921141981","58.2697995012524","64.0472123750145","64.444844785097","58.7154071115807","53.3632581636816","50.7401806971494","47.6612253119549","42.4269755538745","39.6032527431444","35.174717911178","34.3439976020817","31.4926483998085","34.0183045062557","36.023443018737","36.7500919990388","38.9638683965317","40.9269482672369","43.7467438749115","51.4469390641064","57.4065200696463","47.8710230048634","52.1143882580585","54.8850161242708","69.3971706961971","62.8472567856302","62.9458047270253","60.2195760929158","59.2406249188436","",
"Brazil","BRA","Domestic credit to private sector by banks (% of GDP)","FD.AST.PRVT.GD.ZS","12.2227108950016","11.0041263700762","10.6008964151556","9.21066398340288","8.6481826062651","9.37836953664376","7.94406664852771","9.91749513489562","11.5167880903325","20.7681637873447","24.6249261101849","27.4878311076482","31.7386309018508","32.0416227728977","34.3561372881035","38.3985948119031","40.0253841739202","40.5539097016492","38.7311268629509","39.3374795902582","32.4997045845461","36.4510213030769","38.5758484499529","44.1801075442998","45.7483178793655","39.3383556451582","15.8352687311958","14.5051960089923","105.363774187843","127.735515490944","42.0823487756377","45.1592861903714","84.4655623022032","133.075880942292","65.539575824051","43.0367289712137","40.7777917293931","40.7413231940311","29.5322605651131","29.8269102040964","31.140985776572","29.0040380203225","29.6451419426432","27.6856699440399","29.3727702559767","31.8397841553463","35.4251666759672","40.6909379439314","45.7822559944444","47.4942898468856","52.7646576299427","58.0784911068154","62.5192932013758","64.2305738280513","66.0285103939577","66.8297006472797","62.1940069637572","59.4843092970149","60.2183479382347","62.790504944009","68.6961545844532","68.8052245721823","70.6060971800461","71.0755403681193","75.616378348549","",
